iter	Passed	Remaining
679	7057	3321
680	7067	3310
681	7078	3300
682	7088	3290
683	7099	3279
684	7109	3269
685	7120	3259
686	7129	3248
687	7138	3237
688	7149	3226
689	7160	3216
690	7169	3206
691	7179	3195
692	7189	3184
693	7200	3174
694	7211	3164
695	7221	3154
696	7231	3143
697	7242	3133
698	7249	3121
699	7259	3111
700	7270	3101
701	7280	3090
702	7290	3080
703	7300	3069
704	7308	3057
705	7319	3048
706	7329	3037
707	7340	3027
708	7350	3016
709	7359	3006
710	7370	2995
711	7380	2985
712	7392	2975
713	7402	2964
714	7412	2954
715	7423	2944
716	7434	2934
717	7444	2923
718	7455	2913
719	7466	2903
720	7477	2893
721	7488	2883
722	7499	2873
723	7509	2862
724	7521	2852
725	7531	2842
726	7542	2832
727	7552	2821
728	7563	2811
729	7574	2801
730	7585	2791
731	7595	2781
732	7605	2770
733	7616	2760
734	7627	2750
735	7635	2738
736	7644	2727
737	7655	2717
738	7666	2707
739	7677	2697
740	7687	2687
741	7696	2676
742	7707	2665
743	7717	2655
744	7727	2645
745	7738	2634
746	7748	2624
747	7758	2613
748	7769	2603
749	7779	2593
750	7789	2582
751	7799	2572
752	7809	2561
753	7820	2551
754	7832	2541
755	7842	2531
756	7851	2520
757	7862	2510
758	7872	2499
759	7883	2489
760	7895	2479
761	7905	2469
762	7914	2458
763	7924	2447
764	7935	2437
765	7945	2427
766	7955	2416
767	7966	2406
768	7976	2396
769	7985	2385
770	7995	2374
771	8006	2364
772	8017	2354
773	8027	2344
774	8039	2334
775	8057	2325
776	8067	2315
777	8078	2305
778	8089	2294
779	8100	2284
780	8110	2274
781	8121	2263
782	8131	2253
783	8140	2242
784	8150	2232
785	8159	2221
786	8169	2211
787	8178	2200
788	8189	2190
789	8199	2179
790	8210	2169
791	8220	2158
792	8230	2148
793	8239	2137
794	8249	2127
795	8259	2116
796	8269	2106
797	8279	2095
798	8288	2085
799	8296	2074
800	8306	2063
801	8317	2053
802	8327	2042
803	8337	2032
804	8346	2021
805	8356	2011
806	8367	2001
807	8378	1990
808	8387	1980
809	8397	1969
810	8406	1959
811	8416	1948
812	8427	1938
813	8436	1927
814	8445	1917
815	8454	1906
816	8465	1896
817	8475	1885
818	8485	1875
819	8496	1865
820	8507	1854
821	8517	1844
822	8528	1834
823	8538	1823
824	8549	1813
825	8561	1803
826	8573	1793
827	8583	1783
828	8594	1772
829	8605	1762
830	8615	1752
831	8626	1741
832	8638	1731
833	8647	1721
834	8657	1710
835	8666	1700
836	8676	1689
837	8687	1679
838	8698	1669
839	8707	1658
840	8718	1648
841	8730	1638
842	8741	1628
843	8752	1617
844	8761	1607
845	8772	1596
846	8783	1586
847	8794	1576
848	8804	1566
849	8813	1555
850	8823	1544
851	8834	1534
852	8844	1524
853	8854	1513
854	8864	1503
855	8875	1493
856	8888	1483
857	8899	1472
858	8910	1462
859	8920	1452
860	8928	1441
861	8938	1430
862	8949	1420
863	8961	1410
